Nombre,Comuna,Direccion,Tipos,Lng,Lat,Ciudad,Icono,Id
Estadio Fiscal De Mulchén,Mulchén,"Mulchen, Mulchén, Bío Bío","['stadium', 'point_of_interest', 'establishment']",-37.7145431,-72.24658529999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/stadium-71.png,ChIJC_XbwKiWa5YRT5n8rMOEwUo
Estadio Municipal de Nacimiento,Nacimiento,"Nacimiento, Bío Bío","['stadium', 'point_of_interest', 'establishment']",-37.4954561,-72.6781644,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/stadium-71.png,ChIJQ9FgqOXSa5YR4jmFemY7AKs
Galería de La Historia de Concepción,Concepción,"Calle Hospicio Nº40, Intersección Lincoyán - Víctor Lamas Parque Ecuador, Concepción, Bío Bío","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",-36.8338014,-73.0500612,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJzbQgxte1aZYR5jnId8ybayI
Estadio Negrete,Negrete,"Juan Antonio Ríos 135, Negrete, Bío Bío","['stadium', 'point_of_interest', 'establishment']",-37.5878738,-72.5243837,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/stadium-71.png,ChIJHWL8zFTPa5YR8OFtoNtQcxs
Plaza de Penco,Penco,"Penco, Bío Bío","['shopping_mall', 'point_of_interest', 'establishment']",-36.7387084,-72.9937632,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJPzp4hw1LaJYRscRBw2v8byE
Optica Buhler,Penco,"Biobío CL, Freire 555, Penco, Bío Bío","['shopping_mall', 'health', 'point_of_interest', 'store', 'establishment']",-36.7364054,-72.99265350000002,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJa8PED1ZLaJYR7IbMCC-PIUE
Fuerte La Planchada De Penco,Penco,"Línea Férrea, Penco, Bío Bío","['museum', 'point_of_interest', 'establishment']",-36.7365608,-72.9960437,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJE3OfbKhMaJYRchZM7erufns
Galería de La Historia de Concepción,Concepción,"Calle Hospicio Nº40, Intersección Lincoyán - Víctor Lamas Parque Ecuador, Concepción, Bío Bío","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",-36.8338014,-73.0500612,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJzbQgxte1aZYR5jnId8ybayI
Reserva nacional Altos de Pemehue,Quilaco,"Quilaco, Bío Bío","['tourist_attraction', 'park', 'point_of_interest', 'establishment']",-37.9289119,-71.6198268,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,ChIJaWH64XeLbJYReIohs_FQcL8
Museo Violeta Parra,Santiago,"Vicuña Mackenna 37, Santiago, Región Metropolitana","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-33.438673,-70.635097,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJU3n5l5zFYpYR0AVM4nvpKy4
Boca Sur,San Pedro de la Paz,"San Pedro de la Paz, Bío Bío","['tourist_attraction', 'point_of_interest', 'establishment']",-36.8214274,-73.1588344,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJxzkW15fLaZYRskTRfhAWOd8
Galería de La Historia de Concepción,Concepción,"Calle Hospicio Nº40, Intersección Lincoyán - Víctor Lamas Parque Ecuador, Concepción, Bío Bío","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",-36.8338014,-73.0500612,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJzbQgxte1aZYR5jnId8ybayI
Catedral Metropolitana de la Santísima Concepción,Concepción,"Caupolicán 491, Concepción, Bío Bío","['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",-36.8274134,-73.0510656,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png,ChIJfzm19NC1aZYRJrkxSDw0lHE
"Laguna Los Patos, Universidad de Concepción",Concepción,"Concepción, Bío Bío","['tourist_attraction', 'point_of_interest', 'establishment']",-36.8279784,-73.036069,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJLVmSiyu0aZYR3ZiYC-oZQsk
