Nombre,Comuna,Direccion,Tipos,Lng,Lat,Ciudad,Icono,Id
Campus Oriente Universidad Mayor,Las Condes,"Av. Apoquindo 6901-6947, Las Condes, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.40779920000001,-70.55803440000001,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJQRN2QcLOYpYRxIbR4nGtAfY
Inacap Apoquindo,Las Condes,"Av. Apoquindo 7282, Las Condes, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.4075505,-70.55260729999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJv86kLsDOYpYR404p1h5x3Sk
"Universidad de Chile, Departamento de Astronomía",Las Condes,"Santiago, Las Condes, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.39617,-70.53697939999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJGQryQaXOYpYRS0OkW4BqRpo
Universidad de Chile,Santiago,"Av Libertador Bernardo O'Higgins 1058, Santiago, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.4445204,-70.6509277,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJmWiMaajFYpYRN0JWc6XL4mQ
Pontificia Universidad Católica de Chile,Santiago,"Av Libertador Bernardo O'Higgins 340, Santiago, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.4411279,-70.6407933,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJH41QjJ7FYpYRFjHYO41_2dc
Facultad de Economía y Negocios (FEN) de la Universidad de Chile,Santiago,"Diagonal Paraguay 257, Santiago, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.4426768,-70.6369751,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJtU4Mdp3FYpYRvlMjoIPzrDM
Universidad Alberto Hurtado,Santiago,"Av Libertador Bernardo O'Higgins 1869, Santiago, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.4460299,-70.66224869999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJIaejo6nFYpYRSXbGJbi8FyQ
MBA UChile,Santiago,"Av. República 701, Santiago, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.4569319,-70.66692689999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJPSTb-ALFYpYRoNVgFNEoSBs
Biblioteca Las Condes,Las Condes,"Nuestra Señora del Rosario 30, Santiago, Las Condes, Región Metropolitana","['library', 'point_of_interest', 'establishment']",-33.4053703,-70.5619324,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/library-71.png,ChIJK8vHTcPOYpYR3nmDI9Lqj7g
Biblioteca Comunitaria Santa Zita (provisoria),Las Condes,"Sta Zita 9234, Las Condes, Región Metropolitana","['library', 'point_of_interest', 'establishment']",-33.4249163,-70.5331641,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJo6l0MIfOYpYRGeMScC1DIBQ
